county,issue_year,n_infractions_issued,median_income,pop
TEHAMA,2018,2,NA,64545
TRINITY,2012,4,36569,13704
TRINITY,2013,4,36890,13667
TRINITY,2014,4,36862,13613
TRINITY,2015,2,34974,13562
TRINITY,2016,4,35270,13482
TRINITY,2017,1,36563,13447
TULARE,2012,98,43803,452135
TULARE,2013,140,42708,455854
TULARE,2014,66,42863,459831
TULARE,2015,49,42031,463291
TULARE,2016,97,42789,468235
TULARE,2017,104,44871,473308
TULARE,2018,123,NA,478239
TUOLUMNE,2012,NA,48169,55033
TUOLUMNE,2013,NA,48426,54894
TUOLUMNE,2014,NA,48493,54683
TUOLUMNE,2015,1,50306,54525
TUOLUMNE,2016,NA,50731,54282
TUOLUMNE,2017,NA,54325,54193
TUOLUMNE,2018,3,NA,54137
VENTURA,2012,1,76483,836553
VENTURA,2013,NA,76544,842639
VENTURA,2014,NA,77335,847885
VENTURA,2015,2,77348,852013
VENTURA,2016,2,78593,854383
VENTURA,2017,1,81972,858585
VENTURA,2018,2,NA,862900
YOLO,2012,NA,57260,205408
YOLO,2013,NA,55918,208194
YOLO,2014,NA,55508,209834
YOLO,2015,1,54989,212686
YOLO,2016,6,57663,216866
YOLO,2017,NA,61621,220171
YUBA,2012,NA,46641,73704
YUBA,2013,NA,44902,74352
YUBA,2014,NA,45470,74975
YUBA,2015,NA,46892,75579
YUBA,2016,NA,48739,76129
YUBA,2017,NA,51776,76904
